V,V_err,C,C_err,C_mobile,V_abs,1_C2,1_C2_err,1_C2_F,1_C2_err_F,derivative_sigmoid,derivative,derivative2_C,derivative2_V,derivative_err,NB,NB_err,W,W_err
-0.6,0.1,5.12,0.02,5.138,1.2,0.03788015959971884,0.00029802322387695307,3.788015959971884e+22,2.9802322387695305e+20,4.126677506945841e+22,4.126677506945841e+22,0.9683081048091751,4.114214840741711e+22,4.1243231193494323e+21,2.9203948487474094e+18,2.918728679923474e+17,2.3052406425952794e-05,1.4998702897036946e-06
-0.7,0.1,4.81,0.02,4.8420000000000005,1.2999999999999998,0.042653083195179985,0.00035943863987484144,4.265308319517999e+22,3.5943863987484144e+20,4.53274619195761e+22,4.53274619195761e+22,0.8055868017562355,3.918116947293497e+22,3.928801960042807e+21,2.6587695898590787e+18,2.3045144672945427e+17,2.5146512148399973e-05,1.4570816815678347e-06
-0.8,0.1,4.56,0.02,4.581999999999999,1.4,0.04763101434436578,0.00042185719762626023,4.763101434436578e+22,4.218571976262602e+20,4.9103008964045405e+22,4.9103008964045405e+22,0.6670845576311857,3.536889252457074e+22,3.5480670316513015e+21,2.4543358926437484e+18,1.7734449372876726e+17,2.716085582198225e-05,1.3798146387149668e-06
-0.9,0.1,4.32,0.02,4.322,1.5,0.053534096187066116,0.000496145150637606,5.3534096187066115e+22,4.9614515063760604e+20,5.240124042449025e+22,5.240124042449025e+22,0.4920198693121125,2.965176223875934e+22,2.9752077790117264e+21,2.299855430157724e+18,1.3057988152527944e+17,2.904302125674166e-05,1.2716168582959753e-06
-1.0,0.1,4.1,0.02,4.09,1.6,0.059779652201983495,0.000580374631824843,5.977965220198349e+22,5.80374631824843e+20,5.5033361411797275e+22,5.5033361411797275e+22,0.4106006178983499,2.1967879961976332e+22,2.2096754129042546e+21,2.1898585557128988e+18,8.792624117740197e+16,3.0739612659015295e-05,1.1417602040674845e-06
-1.2,0.1,3.82,0.02,3.88,1.7999999999999998,0.06642576256775429,0.0007175793007648965,6.642576256775428e+22,7.175793007648965e+20,5.7685605439754985e+22,5.7685605439754985e+22,0.10831071841191697,3.3439676677594085e+21,3.4331011314987676e+20,2.0891741781773737e+18,1.2433511237893344e+16,3.3380693837592634e-05,9.325467413455335e-07
-1.4,0.1,3.65,0.02,3.694,2.0,0.07328350250585608,0.0008225861594737505,7.328350250585608e+22,8.225861594737506e+20,5.637094847890104e+22,5.637094847890104e+22,-0.4608333847119188,-1.5622594544860945e+22,1.6075921694133526e+21,2.1378969236675476e+18,6.096875156867766e+16,3.4783081015924515e-05,1.001076446449598e-06
-1.6,0.1,3.51,0.02,3.534,2.2,0.0800694618595524,0.0009249934169374761,8.00694618595524e+22,9.24993416937476e+20,5.1436567621810596e+22,5.1436567621810596e+22,-0.89082062143286,-3.071686214388327e+22,3.180288900489004e+21,2.342988323469748e+18,1.448654158631413e+17,3.4847586913426984e-05,1.3370968104305953e-06
-1.8,0.1,3.39,0.02,3.3899999999999997,2.4,0.08701629815264401,0.0010267409811521412,8.701629815264402e+22,1.0267409811521413e+21,4.408420362134774e+22,4.408420362134774e+22,-1.0946631909640572,-3.908269153188214e+22,4.0666692653720053e+21,2.7337519437212867e+18,2.521825074616707e+17,3.3695546159289874e-05,1.705354302537122e-06
-2.0,0.1,3.3,0.02,3.2560000000000002,2.6,0.09432595427681421,0.0011130589642986339,9.432595427681421e+22,1.1130589642986338e+21,3.580349100905774e+22,3.580349100905774e+22,-1.7518903422359342,-3.978135228194448e+22,4.430337816715054e+21,3.366020294132095e+18,4.165126522760332e+17,3.1606378787074943e-05,2.0477770865032877e-06
-2.5,0.1,3.1,0.02,3.1339999999999995,3.1,0.10181271429031044,0.0013426873888087005,1.0181271429031045e+23,1.3426873888087005e+21,1.7940578342467407e+22,1.7940578342467407e+22,-1.8939567473416183,-2.800612535144214e+22,3.7828875304855667e+21,6.717468915257368e+18,1.416421974301672e+18,2.4430055064106298e-05,2.6055843615617086e-06
-3.0,0.1,2.98,0.02,3.0300000000000002,3.6,0.10892178326743564,0.0015115106067233807,1.0892178326743563e+23,1.5115106067233807e+21,7.797365657615602e+21,7.797365657615602e+21,-1.0384552470874484,-1.4758886489156626e+22,2.1545312378863868e+21,1.5455896597533348e+19,4.2707003225382364e+18,1.7356037517479488e-05,2.409955280468222e-06
-3.5,0.1,2.9,0.02,2.936,4.1,0.11600798877413894,0.0016400836442658575,1.1600798877413894e+23,1.6400836442658575e+21,3.18169185331078e+21,3.18169185331078e+21,-0.49784889343840133,-6.532388342498161e+21,1.0456652451810758e+21,3.787773388923868e+19,1.244854364289864e+19,1.1831678651953657e-05,1.949591436649769e-06
-4.0,0.1,2.87,0.02,2.876,4.6,0.12089886858002828,0.0016920543201890464,1.2089886858002827e+23,1.6920543201890463e+21,1.2649773151174412e+21,1.2649773151174412e+21,-0.28522581426929067,-2.6839514952197126e+21,5.522279206808385e+20,9.527070240471124e+19,4.159058131874261e+19,7.902157180510105e-06,1.726987135420863e-06
-4.5,0.1,2.83,0.02,2.832,5.1,0.12468479683360466,0.0017648210888354901,1.2468479683360465e+23,1.76482108883549e+21,4.9774035809106775e+20,4.9774035809106775e+20,-0.14742145289312772,-1.0699265022758403e+21,2.813132617593998e+20,2.4212478529863274e+20,1.368442642794311e+20,5.219295613680307e-06,1.4758100145080832e-06
