V,V_err,C,C_err,C_mobile,V_abs,1_C2,1_C2_err,1_C2_F,1_C2_err_F,derivative_sigmoid,derivative,derivative2_C,derivative2_V,derivative_err,NB,NB_err,W,W_err
-15.0,0.1,128.6,0.5,128.61999999999998,15.6,6.044814660058607e-05,4.7019401224325775e-07,6.044814660058607e+19,4.701940122432577e+17,197654026.93843493,197654026.93843493,8.224343493038101e-10,3219240798.953903,503164853.5438876,6.097284189145427e+32,1.5521763728104657e+33,5.7522865467672024e-12,7.32177744833578e-12
-16.0,0.1,124.8,0.5,124.78,16.6,6.422587613793159e-05,5.144654853419646e-07,6.422587613793159e+19,5.144654853419646e+17,6444543643.031392,6444543643.031392,2.4119046769565306e-08,104963901558.80544,16252477389.274164,1.870035863091405e+31,4.716038445156481e+31,3.388250475655315e-11,4.272422098544482e-11
-17.0,0.1,121.0,0.5,120.92,17.6,6.839175101375725e-05,5.644739300537774e-07,6.839175101375725e+19,5.644739300537774e+17,210125457144.54932,210125457144.54932,6.721564028660266e-07,3422366116165.0728,510961312865.27155,5.735396318703049e+29,1.3946742449160568e+30,1.9921454734009438e-10,2.4221530770095257e-10
-18.0,0.1,117.1,0.5,116.9,18.6,7.317638949157776e-05,6.227723390616169e-07,7.317638949157776e+19,6.227723390616169e+17,6851176775973.177,6851176775973.177,1.8241273115696966e-05,111586837452253.75,15923864655042.74,1.7590449243684235e+28,4.088464538824261e+28,1.1694036316333332e-09,1.3589982848608704e-09
-19.0,0.1,113.1,0.5,112.62,19.6,7.884405532064756e-05,6.912134578574562e-07,7.884405532064757e+19,6.912134578574561e+17,223383800361652.06,223383800361652.06,0.0006373743319745346,3638307963582571.5,571373322743332.0,5.3949873331080196e+26,1.379935265532036e+27,6.854554797386919e-09,8.766341909418917e-09
-20.0,0.1,108.5,0.5,108.75999999999999,20.6,8.453987515962821e-05,7.829080984307293e-07,8.45398751596282e+19,7.829080984307292e+17,7283467103941116.0,7283467103941116.0,0.02108696843788264,1.1862753125191237e+17,2.0329220878087704e+16,1.654641609791208e+25,4.618346493432864e+25,4.0126203477523036e-08,5.59991330762496e-08
-21.0,0.1,103.4,0.5,105.3,21.6,9.01868581514039e-05,9.045620923369311e-07,9.01868581514039e+19,9.045620923369311e+17,2.374784463041864e+17,2.374784463041864e+17,0.06282069017588862,1.1761899339937736e+18,1.3062669199714984e+17,5.074788016041515e+23,2.7914228909564667e+23,2.3461963478295293e-07,6.452937679348756e-08
-21.3,0.1,101.7,0.5,102.36,21.900000000000002,9.54419811250884e-05,9.506860936593901e-07,9.54419811250884e+19,9.506860936593901e+17,6.754749724337372e+17,6.754749724337372e+17,0.18855332530827104,2.8063508700414684e+18,3.3299912280487136e+17,1.78415607173494e+23,8.795624280409625e+22,3.984300335059299e-07,9.82142553169879e-08
-21.6,0.1,99.8,0.2,100.03999999999999,22.200000000000003,9.992004797441282e-05,4.024096320962696e-07,9.992004797441281e+19,4.024096320962696e+17,1.9212889683290714e+18,1.9212889683290714e+18,0.5009174881344514,7.468123289003331e+18,7.735378083761992e+17,6.272626310974734e+22,2.52544707711205e+22,6.765473716594345e-07,1.3620224049344247e-07
-21.8,0.1,98.4,0.2,98.58000000000001,22.400000000000002,0.00010290165799679035,4.1983118621588745e-07,1.0290165799679035e+20,4.198311862158874e+17,3.856968288710025e+18,3.856968288710025e+18,1.040325824672638,1.4553664150806262e+19,1.519490628410889e+18,3.1246115683665904e+22,1.23097148852764e+22,9.628805688923894e-07,1.8968031702561883e-07
