       V  V_err      C  C_err  C_mobile  V_abs      1_C2      1_C2_err        1_C2_F    1_C2_err_F    derivative  derivative2_C  derivative2_V  derivative_err            NB        NB_err             W         W_err
41 -23.6    0.1   70.7    0.2     69.16   24.2  0.000209  1.131884e-06  2.090692e+20  1.131884e+18  3.168595e+20       4.551082   1.489306e+21    1.490197e+20  3.803429e+20  1.788760e+20  9.071236e-06  2.133192e-06
42 -23.7    0.1   64.5    0.2     63.58   24.3  0.000247  1.490668e-06  2.473768e+20  1.490668e+18  5.077252e+20       5.087971   2.618158e+21    2.619256e+20  2.373632e+20  1.224511e+20  1.150649e-05  2.968082e-06
43 -23.8    0.1   57.8    0.2     56.74   24.4  0.000311  2.071460e-06  3.106142e+20  2.071460e+18  8.404911e+20       5.450206   4.684876e+21    4.686237e+20  1.433867e+20  7.994661e+19  1.483498e-05  4.135801e-06
44 -23.9    0.1   50.3    0.2     49.06   24.5  0.000415  3.143084e-06  4.154750e+20  3.143084e+18  1.444700e+21       5.957159   8.819295e+21    8.821282e+20  8.341887e+19  5.093522e+19  1.948935e-05  5.950191e-06
45 -24.0    0.1   40.4    0.2     40.84   24.6  0.000600  6.066188e-06  5.995543e+20  6.066188e+18  2.604350e+21       6.670717   1.817442e+22    1.817893e+21  4.627461e+19  3.230068e+19  2.622060e-05  9.151428e-06
46 -24.1    0.1   32.3    0.2     32.68   24.7  0.000936  1.187005e-05  9.363450e+20  1.187005e+19  5.079585e+21       7.325994   3.709177e+22    3.710196e+21  2.372542e+19  1.732936e+19  3.669340e-05  1.340088e-05
47 -24.2    0.1   23.4    0.2     24.88   24.8  0.001615  3.121853e-05  1.615471e+21  3.121853e+19  1.002270e+22       7.454932   7.640002e+22    7.643546e+21  1.202423e+19  9.169955e+18  5.164683e-05  1.969381e-05
48 -24.3    0.1   17.0    0.2     18.44   24.9  0.002941  8.141665e-05  2.940886e+21  8.141665e+19  2.035959e+22       7.455012   1.442724e+23    1.444000e+22  5.919337e+18  4.198279e+18  7.375807e-05  2.615681e-05
49 -24.4    0.1   11.3    0.2     13.26   25.0  0.005687  2.772201e-04  5.687389e+21  2.772201e+20  3.887718e+22       6.332565   2.329564e+23    2.336169e+22  3.099898e+18  1.862760e+18  1.021275e-04  3.068541e-05
50 -24.5    0.1    8.2    0.2      9.66   25.1  0.010716  7.254683e-04  1.071632e+22  7.254683e+20  6.695086e+22       4.567611   2.607844e+23    2.628812e+22  1.800056e+18  7.067882e+17  1.342890e-04  2.636550e-05
51 -24.6    0.1    6.4    0.2      7.24   25.2  0.019078  1.525879e-03  1.907756e+22  1.525879e+21  9.103406e+22       1.828670   1.494754e+23    1.520575e+22  1.323848e+18  2.211272e+17  1.569017e-04  1.310763e-05
52 -24.7    0.1    5.4    0.2      5.88   25.3  0.028923  2.540263e-03  2.892313e+22  2.540263e+21  9.684595e+22       0.014479   3.225832e+21    3.246733e+20  1.244402e+18  4.171821e+15  1.621535e-04  4.202081e-07
53 -24.8    0.1    4.9    0.2      5.10   25.4  0.038447  3.399944e-03  3.844675e+22  3.399944e+21  9.167923e+22      -0.601947  -5.477908e+22    5.847734e+21  1.314532e+18  8.384707e+16  1.580803e-04  5.051148e-06
54 -24.9    0.1    4.5    0.2      4.60   25.5  0.047259  4.389575e-03  4.725898e+22  4.389575e+21  8.589013e+22      -1.268112  -1.062589e+23    1.199563e+22  1.403133e+18  1.959651e+17  1.533088e-04  1.070997e-05
55 -25.0    0.1    4.3    0.2      4.24   25.6  0.055625  5.031004e-03  5.562478e+22  5.031004e+21  7.042744e+22      -2.214711  -1.411862e+23    1.798567e+22  1.711198e+18  4.370036e+17  1.390965e-04  1.776323e-05
56 -25.2    0.1    3.9    0.2      3.94   25.8  0.064418  6.743202e-03  6.441805e+22  6.743202e+21  4.756650e+22      -1.384406  -5.638338e+22    1.090593e+22  2.533617e+18  5.809011e+17  1.147588e-04  1.315768e-05
57 -25.4    0.1    3.6    0.2      3.66   26.0  0.074651  8.573388e-03  7.465138e+22  8.573388e+21  4.787409e+22      -0.168381  -6.258627e+21    1.573424e+21  2.517338e+18  8.273457e+16  1.155746e-04  1.912191e-06
58 -25.7    0.1    3.4    0.2      3.38   26.3  0.087532  1.017708e-02  8.753195e+22  1.017708e+22  4.248805e+22      -0.481896  -2.041841e+22    5.312368e+21  2.836451e+18  3.546473e+17  1.095057e-04  6.849024e-06
59 -26.0    0.1    3.1    0.2      3.16   26.6  0.100144  1.342687e-02  1.001442e+23  1.342687e+22  3.562304e+22      -0.674868  -2.181639e+22    9.320296e+21  3.383071e+18  8.851357e+17  1.008397e-04  1.319305e-05
60 -26.5    0.1    2.9    0.2      2.98   27.1  0.112608  1.640084e-02  1.126075e+23  1.640084e+22  2.560399e+22      -0.595730  -1.496344e+22    9.884392e+21  4.706894e+18  1.817091e+18  8.629068e-05  1.665697e-05
61 -27.0    0.1    2.8    0.2      2.82   27.6  0.125748  1.822157e-02  1.257482e+23  1.822157e+22  2.065960e+22      -0.886713  -1.052371e+22    1.619155e+22  5.833379e+18  4.571794e+18  7.822416e-05  3.065364e-05
62 -28.0    0.1    2.7    0.2      2.72   28.6  0.135164  2.032211e-02  1.351644e+23  2.032211e+22  8.866028e+21      -0.745985  -7.138642e+21    1.517678e+22  1.359293e+19  2.326824e+19  5.216425e-05  4.464721e-05
63 -29.0    0.1    2.6    0.2      2.64   29.6  0.143480  2.275831e-02  1.434803e+23  2.275831e+22  6.382317e+21      -0.490700  -2.561860e+21    1.117043e+22  1.888268e+19  3.304876e+19  4.502569e-05  3.940240e-05
64 -30.0    0.1    2.6    0.2      2.60   30.6  0.147929  2.275831e-02  1.479290e+23  2.275831e+22  3.742307e+21      -0.445832  -1.986166e+21    1.014831e+22  3.220347e+19  8.732872e+19  3.505547e-05  4.753140e-05
65 -32.0    0.1    2.5    0.2      2.56   32.6  0.152588  2.560000e-02  1.525879e+23  2.560000e+22  2.385350e+21      -0.207379  -4.850688e+20    5.309131e+21  5.052309e+19  1.124505e+20  2.888752e-05  3.214785e-05
66 -34.0    0.1    2.6    0.2      2.52   34.6  0.157470  2.275831e-02  1.574704e+23  2.275831e+22  1.802032e+21      -0.054531  -1.820397e+20    1.241157e+21  6.687743e+19  4.606211e+19  2.586692e-05  8.908053e-06
67 -37.0    0.1    2.5    0.2      2.50   37.6  0.160000  2.560000e-02  1.600000e+23  2.560000e+22  1.749201e+21      -0.018566  -2.375532e+19    4.752830e+20  6.889734e+19  1.872040e+19  2.656679e-05  3.609463e-06
68 -40.0    0.1    2.4    0.2      2.44   40.6  0.167966  2.893519e-02  1.679656e+23  2.893519e+22  1.659500e+21            NaN  -1.431502e+20             NaN  7.262143e+19           NaN  2.688915e-05           NaN
69 -45.0    0.1    2.5    0.2      2.44   45.6  0.167966  2.560000e-02  1.679656e+23  2.560000e+22  0.000000e+00            NaN  -1.659500e+20             NaN           inf           NaN  0.000000e+00           NaN
70 -50.0    0.1    2.2    0.2      2.44   50.6  0.167966  3.756574e-02  1.679656e+23  3.756574e+22  0.000000e+00            NaN   0.000000e+00             NaN           inf           NaN  0.000000e+00           NaN
