x,y
15275.0,47.5
15300.0,47.5
15325.0,47.5
15350.0,47.5
15375.0,48.125
15400.0,48.125
15425.0,48.125
15450.0,48.125
15475.0,48.125
15500.0,48.125
15525.0,46.875
15550.0,48.75
15575.0,49.375
15600.0,48.125
15625.0,47.5
15650.0,47.5
15675.0,48.125
15700.0,48.75
15725.0,49.375
15750.0,48.75
15775.0,47.5
15800.0,48.125
15825.0,48.75
15850.0,49.375
15875.0,48.75
15900.0,48.75
15925.0,48.125
15950.0,48.125
15975.0,48.125
16000.0,47.5
16025.0,46.875
16050.0,48.125
16075.0,48.75
16100.0,48.75
16125.0,48.125
16150.0,48.75
16175.0,48.75
16200.0,48.75
16225.0,49.375
16250.0,48.75
16275.0,48.125
16300.0,48.125
16325.0,48.125
16350.0,48.125
16375.0,48.125
16400.0,48.125
16425.0,49.375
16450.0,48.75
16475.0,48.125
16500.0,48.75
16525.0,50.0
16550.0,50.0
16575.0,49.375
16600.0,50.0
16625.0,51.25
16650.0,50.625
16675.0,48.75
16700.0,48.75
16725.0,50.0
16750.0,50.0
16775.0,49.375
16800.0,48.75
16825.0,48.75
16850.0,48.75
16875.0,48.75
16900.0,49.375
16925.0,50.625
16950.0,50.0
16975.0,48.125
17000.0,46.875
17025.0,47.5
17050.0,48.125
17075.0,48.125
17100.0,47.5
17125.0,48.125
17150.0,48.125
17175.0,48.125
17200.0,48.125
17225.0,48.125
17250.0,48.125
17275.0,48.75
17300.0,48.75
17325.0,49.375
17350.0,49.375
17375.0,48.125
17400.0,48.75
17425.0,48.75
17450.0,48.125
17475.0,48.125
17500.0,47.5
17525.0,48.125
17550.0,48.75
17575.0,48.75
17600.0,48.75
17625.0,49.375
17650.0,48.125
17675.0,48.125
17700.0,48.75
17725.0,48.125
17750.0,48.75
17775.0,48.75
17800.0,48.125
17825.0,48.125
17850.0,46.875
17875.0,46.25
17900.0,46.875
17925.0,46.875
17950.0,48.75
17975.0,49.375
18000.0,48.125
18025.0,48.75
18050.0,50.0
18075.0,49.375
18100.0,49.375
18125.0,50.0
18150.0,50.0
18175.0,50.0
18200.0,48.75
18225.0,48.125
18250.0,47.5
18275.0,46.875
18300.0,47.5
18325.0,48.125
18350.0,48.125
18375.0,46.875
18400.0,46.875
18425.0,47.5
18450.0,47.5
18475.0,47.5
18500.0,47.5
18525.0,47.5
18550.0,47.5
18575.0,47.5
18600.0,48.125
18625.0,48.125
18650.0,48.125
18675.0,48.75
18700.0,48.125
18725.0,47.5
18750.0,47.5
18775.0,47.5
18800.0,47.5
18825.0,48.125
18850.0,47.5
18875.0,47.5
18900.0,48.125
18925.0,47.5
18950.0,46.875
18975.0,46.875
19000.0,47.5
19025.0,46.875
19050.0,47.5
19075.0,49.375
19100.0,48.125
19125.0,46.25
19150.0,46.875
19175.0,47.5
19200.0,46.875
19225.0,46.875
19250.0,47.5
19275.0,47.5
19300.0,46.25
19325.0,47.5
19350.0,48.75
19375.0,48.75
19400.0,48.75
19425.0,48.75
19450.0,48.125
19475.0,49.375
19500.0,50.0
19525.0,48.75
19550.0,48.75
19575.0,48.75
19600.0,48.125
19625.0,47.5
19650.0,47.5
19675.0,47.5
19700.0,47.5
19725.0,46.25
19750.0,45.625
19775.0,46.25
19800.0,46.875
19825.0,46.875
19850.0,46.875
19875.0,47.5
19900.0,47.5
19925.0,48.125
19950.0,48.125
19975.0,48.125
20000.0,48.125
20025.0,47.5
20050.0,48.125
20075.0,48.125
20100.0,48.125
20125.0,48.125
20150.0,47.5
20175.0,47.5
20200.0,46.875
20225.0,46.875
20250.0,47.5
20275.0,48.125
20300.0,48.75
20325.0,48.125
20350.0,48.125
20375.0,47.5
20400.0,47.5
20425.0,48.75
20450.0,48.125
20475.0,47.5
20500.0,47.5
20525.0,46.875
20550.0,46.875
20575.0,47.5
20600.0,47.5
20625.0,48.125
20650.0,47.5
20675.0,46.875
20700.0,46.25
20725.0,46.875
20750.0,47.5
20775.0,46.875
20800.0,46.875
20825.0,47.5
20850.0,47.5
20875.0,46.875
20900.0,46.875
20925.0,46.875
20950.0,46.875
20975.0,46.875
21000.0,46.875
21025.0,46.25
21050.0,46.875
21075.0,47.5
21100.0,48.125
21125.0,48.125
21150.0,48.125
21175.0,47.5
21200.0,47.5
21225.0,47.5
21250.0,47.5
21275.0,47.5
21300.0,46.875
21325.0,46.875
21350.0,47.5
21375.0,47.5
21400.0,47.5
21425.0,48.125
21450.0,46.25
21475.0,45.625
21500.0,46.875
21525.0,46.25
21550.0,46.25
21575.0,46.25
21600.0,45.625
21625.0,45.625
21650.0,44.375
21675.0,43.125
21700.0,43.75
21725.0,44.375
21750.0,44.375
21775.0,44.375
21800.0,43.75
21825.0,43.75
21850.0,43.125
21875.0,43.125
21900.0,43.125
21925.0,42.5
21950.0,41.875
21975.0,41.875
22000.0,41.875
22025.0,41.25
22050.0,41.25
22075.0,41.875
22100.0,41.25
22125.0,41.25
22150.0,41.875
22175.0,41.875
22200.0,41.25
22225.0,40.625
22250.0,40.0
22275.0,39.375
22300.0,38.75
22325.0,38.75
22350.0,39.375
22375.0,39.375
22400.0,38.75
22425.0,38.75
22450.0,38.125
22475.0,38.125
22500.0,37.5
22525.0,36.875
22550.0,36.875
22575.0,36.25
22600.0,36.25
22625.0,35.625
22650.0,35.625
22675.0,36.25
22700.0,36.25
22725.0,36.25
22750.0,36.25
22775.0,36.25
22800.0,35.625
22825.0,35.0
22850.0,35.0
22875.0,35.0
22900.0,34.375
22925.0,34.375
22950.0,34.375
22975.0,34.375
23000.0,34.375
23025.0,33.75
23050.0,33.75
23075.0,33.75
23100.0,33.75
23125.0,33.75
23150.0,33.125
23175.0,33.125
23200.0,33.125
23225.0,32.5
23250.0,31.875
